mountain_name,station_name,station_id,distance_km,mountain_lat,mountain_lon,station_lat,station_lon,station_elevation,station_city
奇萊主峰,奇萊稜線,C0I540,2.604,24.086,121.3232,24.109231,121.326456,3344.0,南投縣
奇萊北峰,奇萊稜線,C0I540,1.288,24.1178,121.335,24.109231,121.326456,3344.0,南投縣
桃山,桃山,C0F9Y0,0.112,24.4326,121.3049,24.432739,121.303808,3313.0,臺中市
喀拉業山,桃山,C0F9Y0,2.598,24.45,121.3211,24.432739,121.303808,3313.0,臺中市
合歡山北峰,大禹嶺,C0T790,3.536,24.181493,121.281598,24.186117,121.316086,2830.0,花蓮縣
合歡山北峰西北峰,大禹嶺,C0T790,3.536,24.181493,121.281598,24.186117,121.316086,2830.0,花蓮縣
白姑大山,中橫21.6k,C0FB40,6.474,24.2022,121.1089,24.2499,121.1455,1341.0,臺中市
北大武山,瑪家,C0R140,9.867,22.6271,120.7614,22.682903,120.686639,740.0,屏東縣
志佳陽大山,雪山圈谷,C0F0A0,3.406,24.3599,121.2481,24.388594,121.236339,3587.0,臺中市
羊頭山,大禹嶺,C0T790,6.913,24.2082,121.3798,24.186117,121.316086,2830.0,花蓮縣
畢祿山,大禹嶺,C0T790,4.393,24.2136,121.3472,24.186117,121.316086,2830.0,花蓮縣
西巒大山,信義,C0I080,9.823,23.6939,120.9474,23.689694,120.851036,536.0,南投縣
雪山東峰,雪山東峰,C0F9Z0,0.337,24.3887,121.272,24.388792,121.268675,3193.0,臺中市
塔關山,向陽,C0S750,4.587,23.2519,120.9414,23.248397,120.986133,2280.0,臺東縣
關山嶺山,向陽,C0S750,3.704,23.271,120.9595,23.248397,120.986133,2280.0,臺東縣
屏風山,奇萊稜線,C0I540,4.751,24.1492,121.343,24.109231,121.326456,3344.0,南投縣
品田山,桃山,C0F9Y0,0.94,24.42568,121.2987,24.432739,121.303808,3313.0,臺中市
池有山,桃山,C0F9Y0,1.023,24.44063,121.309,24.432739,121.303808,3313.0,臺中市
小關山,復興,C0V210,6.46,23.2023,120.8654,23.222403,120.806089,734.0,高雄市
郡大山,玉山風口,C0I520,19.741,23.6196,121.0611,23.470489,120.955994,3860.0,南投縣
玉山前峰,玉山風口,C0I520,1.68,23.4848,120.9507,23.470489,120.955994,3860.0,南投縣
玉山主峰,玉山風口,C0I520,0.187,23.4711,120.9577,23.470489,120.955994,3860.0,南投縣
嘉明湖,向陽,C0S750,8.796,23.3255,121.0054,23.248397,120.986133,2280.0,臺東縣
