山名,經度,緯度
奇萊主峰,121.323200,24.086000
奇萊北峰,121.335000,24.117800
桃山,121.304900,24.432600
喀拉業山,121.321100,24.450000
合歡山北峰,121.281598,24.181493
合歡山北峰西北峰,121.281598,24.181493
白姑大山,121.108900,24.202200
北大武山,120.761400,22.627100
志佳陽大山,121.248100,24.359900
羊頭山,121.379800,24.208200
畢祿山,121.347200,24.213600
西巒大山,120.947400,23.693900
雪山東峰,121.272000,24.388700
塔關山,120.941400,23.251900
關山嶺山,120.959500,23.271000
屏風山,121.343000,24.149200
品田山,121.298700,24.425680
池有山,121.309000,24.440630
小關山,120.865400,23.202300
郡大山,121.061100,23.619600
玉山前峰,120.950700,23.484800
玉山主峰,120.957700,23.471100
嘉明湖,121.005400,23.325500
