山名,最近氣象站,站號,距離(公里)
奇萊主峰,奇萊稜線,C0I540,2.604
奇萊北峰,奇萊稜線,C0I540,1.288
桃山,桃山,C0F9Y0,0.112
喀拉業山,桃山,C0F9Y0,2.598
合歡山北峰,大禹嶺,C0T790,3.536
合歡山北峰西北峰,大禹嶺,C0T790,3.536
白姑大山,中橫21.6k,C0FB40,6.474
北大武山,瑪家,C0R140,9.867
志佳陽大山,雪山圈谷,C0F0A0,3.406
羊頭山,大禹嶺,C0T790,6.913
畢祿山,大禹嶺,C0T790,4.393
西巒大山,信義,C0I080,9.823
雪山東峰,雪山東峰,C0F9Z0,0.337
塔關山,向陽,C0S750,4.587
關山嶺山,向陽,C0S750,3.704
屏風山,奇萊稜線,C0I540,4.751
品田山,桃山,C0F9Y0,0.94
池有山,桃山,C0F9Y0,1.023
小關山,復興,C0V210,6.46
郡大山,玉山風口,C0I520,19.741
玉山前峰,玉山風口,C0I520,1.68
玉山主峰,玉山風口,C0I520,0.187
嘉明湖,向陽,C0S750,8.796
