mountain_name,first_station_name,first_station_id,first_distance_km,second_station_name,second_station_id,second_distance_km,mountain_lat,mountain_lon,first_station_lat,first_station_lon,first_station_elevation,first_station_city,second_station_lat,second_station_lon,second_station_elevation,second_station_city
奇萊主峰,奇萊稜線,C0I540,2.604,小奇萊,C0I530,5.803,24.086,121.3232,24.109231,121.326456,3344.0,南投縣,24.131764,121.295717,3014.0,南投縣
奇萊北峰,奇萊稜線,C0I540,1.288,小奇萊,C0I530,4.278,24.1178,121.335,24.109231,121.326456,3344.0,南投縣,24.131764,121.295717,3014.0,南投縣
桃山,桃山,C0F9Y0,0.112,雪山東峰,C0F9Z0,6.098,24.4326,121.3049,24.432739,121.303808,3313.0,臺中市,24.388792,121.268675,3193.0,臺中市
喀拉業山,桃山,C0F9Y0,2.598,南山,C0U720,6.289,24.45,121.3211,24.432739,121.303808,3313.0,臺中市,24.43742,121.38167,1260.0,宜蘭縣
合歡山北峰,大禹嶺,C0T790,3.536,合歡山,C0H9C0,4.33,24.181493,121.281598,24.186117,121.316086,2830.0,花蓮縣,24.143442,121.272547,3402.0,南投縣
合歡山北峰西北峰,大禹嶺,C0T790,3.536,合歡山,C0H9C0,4.33,24.181493,121.281598,24.186117,121.316086,2830.0,花蓮縣,24.143442,121.272547,3402.0,南投縣
白姑大山,中橫21.6k,C0FB40,6.474,大雪山埡口,C0FA70,10.846,24.2022,121.1089,24.2499,121.1455,1341.0,臺中市,24.26867,121.03062,2591.0,臺中市
北大武山,瑪家,C0R140,9.867,舊泰武,C0R600,10.805,22.6271,120.7614,22.682903,120.686639,740.0,屏東縣,22.588194,120.664944,766.0,屏東縣
志佳陽大山,雪山圈谷,C0F0A0,3.406,雪山東峰,C0F9Z0,3.829,24.3599,121.2481,24.388594,121.236339,3587.0,臺中市,24.388792,121.268675,3193.0,臺中市
雪山東峰,雪山東峰,C0F9Z0,0.337,雪山圈谷,C0F0A0,3.611,24.3887,121.272,24.388792,121.268675,3193.0,臺中市,24.388594,121.236339,3587.0,臺中市
塔關山,向陽,C0S750,4.587,復興,C0V210,14.209,23.2519,120.9414,23.248397,120.986133,2280.0,臺東縣,23.222403,120.806089,734.0,高雄市
關山嶺山,向陽,C0S750,3.704,復興,C0V210,16.579,23.271,120.9595,23.248397,120.986133,2280.0,臺東縣,23.222403,120.806089,734.0,高雄市
郡大山,玉山風口,C0I520,19.741,信義,C0I080,22.771,23.6196,121.0611,23.470489,120.955994,3860.0,南投縣,23.689694,120.851036,536.0,南投縣
玉山前峰,玉山風口,C0I520,1.68,神木村,C0H9A0,12.146,23.4848,120.9507,23.470489,120.955994,3860.0,南投縣,23.532742,120.843667,1595.0,南投縣
玉山主峰,玉山風口,C0I520,0.187,神木村,C0H9A0,13.498,23.4711,120.9577,23.470489,120.955994,3860.0,南投縣,23.532742,120.843667,1595.0,南投縣
