站號,站名,站種,海拔高度(m),經度,緯度,城市,地址,資料起始日期,撤站日期,備註,原站號,新站號
466850,五分山雷達站,署屬有人站,756,121.781205,25.071182,新北市,瑞芳區靜安路四段1巷1號,1988-07-01,,本站只有雷達觀測資料。,,
466881,新北,署屬有人站,24.5,121.525196,24.959207,新北市,新店區莒光路29號,2023-01-01,,為臺北氣象站板橋站區(站碼466880)遷移之新站，於2023/01/03上午11時取代舊站開始提供觀測資料。,466880,
466900,淡水,署屬有人站,19,121.448906,25.164889,新北市,淡水區中正東路42巷6號,1942-10-01,,,,
466910,鞍部,署屬有人站,837.6,121.529731,25.182586,臺北市,北投區陽明山竹子湖路111號,1943-01-01,,,,
466920,臺北,署屬有人站,6.3,121.514853,25.037658,臺北市,中正區公園路64號,1896-08-11,,1992/02至1997/08因本署改建，觀測地點移至臺北師院(466921)。2014至2015氣候年報之氣壓計海面上高度應為30.3m(2014/10/25搬遷，6.6m->30.3m)。,,
466930,竹子湖,署屬有人站,607.1,121.544547,25.162078,臺北市,北投區陽明山竹子湖路2號,1943-01-01,,,,
466940,基隆,署屬有人站,26.7,121.740475,25.133314,基隆市,仁愛區港西街6號6樓(海港大樓6樓),1946-10-01,,,,
466950,彭佳嶼,署屬有人站,101.7,122.079744,25.627975,基隆市,中正區彭佳嶼,1936-05-01,,,,
466990,花蓮,署屬有人站,16.1,121.613275,23.975128,花蓮縣,花蓮市花崗街24號,1910-11-01,,,,
467050,新屋,署屬有人站,20.6,121.047492,25.006725,桃園市,新屋區東興路二段946號,2013-07-01,,座標及高度於2013/10/09更正。2020/01/01至2020/02/15因施工部分觀測資料缺值。,,
467080,宜蘭,署屬有人站,7.2,121.756528,24.763975,宜蘭縣,宜蘭市力行路150號,1935-12-06,,,,
467110,金門,署屬有人站,47.9,118.289281,24.407306,金門縣,金城鎮金水里西海路一段250號,2004-01-16,,,,
467270,田中,署屬有人站,48.6,120.581286,23.873803,彰化縣,田中鎮中潭里4鄰高鐵三路1段167號,2020-04-09,,,,
467280,後龍,署屬有人站,30,120.831834,24.648563,苗栗縣,造橋鄉龍昇村九車籠42-16號,2024-06-12,,於2024/05/24新增，2024/06/12開始觀測。目前經緯度及海拔高度數值為簡易量測，待後續大地量測後會再更新。,,
467290,古坑,署屬有人站,90,120.551889,23.633639,雲林縣,古坑鄉永光村文昌路270號,2024-09-26,,於2024/09/26開始觀測。目前測站建置中，經緯度及海拔高度數值為簡易量測，待後續大地量測後會再更新。,,
467300,東吉島,署屬有人站,43,119.66762,23.25727,澎湖縣,望安鄉東吉村156號,1963-01-01,,,,
467350,澎湖,署屬有人站,10.7,119.563094,23.565503,澎湖縣,馬公市新興路2號,1896-11-21,,,,
467410,臺南,署屬有人站,40.8,120.20492,22.99328,臺南市,中西區公園路21號,1897-01-01,,1998/05停止觀測，2002/01恢復觀測。2002年至2006年氣候年報之風速儀地上高度應為53.7m。,,
467420,永康,署屬有人站,8.1,120.2367,23.038386,臺南市,永康區鹽行里正南五街520巷88號,1947-06-01,,,,
467441,高雄,署屬有人站,11.8,120.312516,22.730432,高雄市,楠梓區德民路28號,2022-01-24,,,467440,
467480,嘉義,署屬有人站,26.9,120.432906,23.495925,嘉義市,西區北新里海口寮路56號,1968-09-01,,,,
467490,臺中,署屬有人站,84,120.684075,24.145736,臺中市,北區精武路295號,1897-01-01,,2000年至2006年氣候年報之海拔高度誤植為34m。,,
467530,阿里山,署屬有人站,2413.4,120.813242,23.508208,嘉義縣,阿里山鄉中正村4鄰東阿里山73-1號,1933-04-01,,,,
467540,大武,署屬有人站,8.1,120.90374,22.35572,臺東縣,大武鄉大武街115號,1940-01-01,,觀測指標08日次02始時/觀測設備。於2024/09/13起取消所有人工觀測項目填報，僅保留儀器自動量測項目。,,
467550,玉山,署屬有人站,3844.8,120.95943,23.48718,南投縣,信義鄉玉山北峰1號,1943-10-01,,,,
467571,新竹,署屬有人站,26.9,121.014219,24.827853,新竹縣,竹北市北崙里3鄰光明五街60號,1991-07-01,,,,
467590,恆春,署屬有人站,22.3,120.746339,22.003897,屏東縣,恆春鎮天文路50號,1896-11-20,,,,
467610,成功,署屬有人站,33.5,121.373428,23.097486,臺東縣,成功鎮公民路84號,1940-01-01,,,,
467620,蘭嶼,署屬有人站,324,121.55843,22.0369,臺東縣,蘭嶼鄉紅頭村2號,1941-11-01,,,,
467650,日月潭,署屬有人站,1017.5,120.90805,23.881325,南投縣,魚池鄉水社村中山路270巷14號,1941-11-01,,,,
467660,臺東,署屬有人站,9,121.154586,22.752211,臺東縣,臺東市大同路106號,1901-01-01,,,,
467790,墾丁雷達站,署屬有人站,42,120.808028,21.948235,屏東縣,恆春鎮燈塔路51巷33號,2001-11-01,,本站只有雷達觀測資料。,,
467990,馬祖,署屬有人站,97.8,119.923158,26.169467,連江縣,南竿鄉四維村6鄰88號,2004-01-01,,,,
C0A520,山佳,署屬自動站,48,121.402008,24.974944,新北市,樹林區中山路3段5號(山佳國民小學校園內),1987-06-01,,,,
C0A530,坪林,署屬自動站,300,121.70975,24.938183,新北市,坪林區,1987-06-01,,,,
C0A550,泰平,署屬自動站,422,121.823711,24.971197,新北市,雙溪區泰平里8鄰大平路43號(泰平國小分校附近),1987-06-01,,,,
C0A570,桶後,署屬自動站,360,121.597992,24.848222,新北市,烏來區后桶街49號孝義里5-6k處路旁,1987-06-01,,,,
C0A640,石碇,署屬自動站,241,121.662917,24.993969,新北市,石碇區湳窟34號附近,2009-12-01,,原(C1A640)站因擴充為氣象站，於2009/12/1升級為(C0A640)站。,C1A640,
C0A770,科教館,署屬自動站,60,121.516507,25.096356,臺北市,士林區士商路189號（士林科教館樓頂）,2021-12-13,,,,
C0A860,大坪,署屬自動站,362,121.632969,25.165914,新北市,萬里區溪底里香員林6-3號,1995-01-01,,,,
C0A870,五指山,署屬自動站,685,121.608692,25.132153,新北市,汐止區國軍示範公墓旁之復興廣播電台門口外,1995-01-01,,,,
C0A890,雙溪,署屬自動站,40,121.864242,25.036003,新北市,雙溪區雙溪里社區活動中心旁花圃內,1995-01-01,,,,
C0A931,三和,署屬自動站,216,121.595236,25.233153,新北市,金山區三和國小兩湖分校,2014-04-01,,原(C0A930)站因移位，於2014/4/1更變為(C0A931)站。,C0A930,
C0A940,金山,署屬自動站,49,121.643967,25.223628,新北市,金山區中興段404地號(磺港社區活動中心內),1995-01-01,,,,
C0A950,鼻頭角,署屬自動站,60,121.923372,25.129036,新北市,瑞芳區鼻頭角燈塔旁,1995-01-01,,,,
C0A970,三貂角,署屬自動站,96,122.002058,25.007606,新北市,貢寮區三貂角燈塔旁,1996-01-01,,本站於2017/10/23進行儀器汰換，於2017/12/1完成驗收。,,
C0A980,社子,署屬自動站,11,121.469681,25.109508,臺北市,士林區延平北路九段212號(臺北海洋科技大學內),1997-12-01,,,,
C0A9C0,天母,署屬自動站,35,121.537169,25.117494,臺北市,士林區天母東路116號(三玉國小內),1997-12-01,,,,
C0A9F0,內湖,署屬自動站,35,121.57545,25.079422,臺北市,內湖區內湖路一段520號(內湖高工內),1997-12-01,,,,
C0AC40,大屯山,署屬自動站,1079,121.522408,25.175675,臺北市,北投區湖田段461-6地號(民航局大屯山助航臺),2006-01-01,,,,
C0AC60,三峽,署屬自動站,55,121.369728,24.939025,新北市,三峽區復興路238號(三峽國中校園內),2009-10-01,,,,
C0AC70,信義,署屬自動站,71,121.564597,25.037822,臺北市,信義區市府路1號(台北市政府頂樓),2009-10-01,,,,
C0AC80,文山,署屬自動站,40,121.575728,25.00235,臺北市,文山區木柵路4段159巷14-1號(博嘉國小校園內),2009-12-01,,原(C1AC80)站因擴充為氣象站，於2009/12/1升級為(C0AC80)站。,C1AC80,
C0ACA0,新莊,署屬自動站,25,121.446756,25.051478,新北市,新莊區中和街193號(榮富國小校園內),2009-12-01,,原(C1ACA0)站因擴充為氣象站，於2009/12/1升級為(C0ACA0)站，站址搬遷至同校行政大樓西側。,C1ACA0,
C0AD10,八里,署屬自動站,27,121.403947,25.150211,新北市,八里區中山路二段338號(八里國小內),2009-11-01,,,,
C0AD30,蘆洲,署屬自動站,20,121.472331,25.086594,新北市,蘆洲區三民路96號(三民高中內),2009-11-01,,,,
C0AD40,土城,署屬自動站,32,121.445169,24.973208,新北市,土城區金城路一段90號(新北市政府消防局土城分隊大樓樓頂),2009-11-01,,,,
C0AD50,鶯歌,署屬自動站,84,121.346294,24.951533,新北市,鶯歌區尖山埔路106號(鶯歌國小內),2009-11-01,,,,
C0AG80,中和,署屬自動站,48,121.491792,24.991622,新北市,中和區錦和路163號(錦和高中內),2021-10-18,,,,
C0AH00,汐止,署屬自動站,38,121.658778,25.066881,新北市,汐止區大同路二段394號(汐止國中),2011-09-01,,,,
C0AH10,永和,署屬自動站,30,121.508111,25.01125,新北市,永和區永平路205號(永平高中校園內),2014-01-01,,,,
C0AH30,五分山,署屬自動站,755,121.780794,25.07125,新北市,瑞芳區靜安路四段1巷1號,2016-01-01,,,,
C0AH40,平等,署屬自動站,426,121.577086,25.129142,臺北市,士林區平菁街101號(平等國小),2016-08-01,,,,
C0AH50,林口,署屬自動站,275,121.38084,25.072181,新北市,林口區仁愛路二段173號(林口高中內),2017-01-10,,,,
